outflow,time,size,area,rho
0,66.50000000000013,151,26,0.859375
0,3.0,4,4,0.875
0,91.16666666666666,126,19,0.890625
0,300.1666666666672,700,62,0.90625
0,43.5,57,11,0.921875
3,398.6690476190442,1148,64,0.890625
0,59.02380952380964,174,30,0.90625
0,214.41666666666657,519,62,0.921875
3,131.83333333333326,280,43,0.890625
4,274.1718253968242,906,64,0.84375
0,134.16666666666657,218,23,0.859375
2,207.1190476190479,582,51,0.84375
0,0,0,1,0.859375
0,88.5,167,32,0.875
0,7.0,7,7,0.890625
3,212.68769841269906,814,64,0.859375
0,30.166666666666668,42,9,0.875
2,26.5,28,6,0.859375
0,2.0,2,4,0.875
0,414.6809523809497,1204,39,0.890625
0,0,0,1,0.90625
2,18.0,18,6,0.890625
0,119.06666666666656,198,33,0.90625
0,2.0,2,3,0.921875
0,0,0,1,0.9375
0,0,0,1,0.953125
2,15.833333333333332,25,9,0.9375
3,374.5380952380912,1583,63,0.90625
3,98.98333333333332,274,25,0.875
0,117.3333333333333,157,24,0.890625
1,24.08333333333334,40,11,0.890625
0,2.0,2,3,0.90625
3,306.1999999999989,962,59,0.875
0,175.4999999999997,292,31,0.890625
1,86.50000000000003,118,19,0.890625
2,352.3126984126968,1074,42,0.875
3,68.91666666666671,181,21,0.84375
0,247.57857142857117,547,38,0.859375
2,22.333333333333336,37,12,0.84375
0,2.0,2,3,0.859375
1,55.33333333333333,94,17,0.859375
0,27.333333333333336,41,9,0.875
0,21.0,30,11,0.890625
2,8.0,8,7,0.875
0,0,0,1,0.890625
2,15.0,19,10,0.875
1,271.79642857142795,785,37,0.875
3,16.0,17,6,0.84375
0,170.31666666666646,443,59,0.859375
1,404.14999999999606,1192,60,0.859375
0,301.48333333333335,683,50,0.875
2,54.90000000000004,148,34,0.859375
1,1.0,1,2,0.859375
0,0,0,1,0.875
0,172.55000000000004,442,36,0.890625
0,176.9666666666666,466,31,0.90625
3,519.7079365079315,1884,62,0.875
0,112.53333333333333,205,20,0.890625
0,71.16666666666667,96,18,0.90625
1,3.0,3,2,0.90625
0,145.7499999999999,346,32,0.921875
1,424.4603174603149,985,50,0.921875
0,523.7059523809482,2017,56,0.9375
4,125.54999999999998,274,20,0.890625
1,494.2166666666642,1068,56,0.890625
0,0,0,1,0.90625
3,133.25000000000003,301,50,0.875
0,3.0,4,4,0.890625
0,6.5,10,6,0.90625
3,511.5281746031702,1780,61,0.875
0,23.5,32,13,0.890625
3,446.0999999999981,1436,61,0.859375
1,2.0,2,3,0.859375
0,20.75,40,12,0.875
0,0,0,1,0.890625
0,1085.9325396825645,4007,64,0.90625
1,124.21666666666665,304,41,0.90625
4,77.3333333333334,130,21,0.859375
0,669.6666666666673,1318,61,0.875
1,8.0,12,6,0.875
2,28.0,31,7,0.859375
0,223.93333333333396,537,32,0.875
2,35.833333333333336,60,11,0.859375
0,10.916666666666664,27,15,0.875
0,66.55000000000003,169,26,0.890625
0,1.0,1,3,0.90625
0,199.65476190476156,508,36,0.921875
2,167.1833333333336,417,35,0.90625
0,0,0,1,0.921875
0,85.33333333333329,119,32,0.9375
0,0,0,1,0.953125
5,1042.638888888909,2897,56,0.890625
2,323.769047619048,650,61,0.875
0,83.66666666666671,118,23,0.890625
0,6.0,6,6,0.90625
2,353.28968253967656,1369,60,0.890625
0,246.333333333334,421,48,0.90625
0,12.0,12,8,0.921875
0,0,0,1,0.9375
2,597.0277777777733,1914,64,0.921875
6,283.6333333333339,617,33,0.84375
0,9.0,9,6,0.859375
3,170.48809523809535,468,59,0.828125
0,6.0,7,9,0.84375
0,85.0,96,17,0.859375
0,0,0,1,0.875
5,307.0988095238073,956,56,0.8125
0,120.46904761904764,286,32,0.828125
0,39.83333333333334,74,14,0.84375
0,155.75000000000014,443,44,0.859375
0,232.516666666667,632,45,0.875
0,11.0,11,5,0.890625
0,0,0,1,0.90625
0,2.0,2,3,0.921875
0,115.15,378,34,0.9375
3,472.85277777777225,1594,64,0.90625
0,99.33333333333333,122,20,0.921875
1,2.0,2,2,0.921875
3,308.16190476190525,1061,60,0.890625
2,231.3666666666678,683,53,0.875
0,618.1761904761909,1689,38,0.890625
3,118.11309523809568,537,55,0.859375
0,9.5,10,6,0.875
2,78.10119047619058,277,34,0.859375
0,11.0,12,7,0.875
2,625.2654761904777,1842,64,0.859375
1,65.33333333333334,127,25,0.859375
1,221.59047619047735,654,52,0.859375
0,26.5,38,13,0.875
1,224.16666666666742,669,50,0.875
3,6.0,7,5,0.84375
0,66.50000000000003,120,16,0.859375
0,114.4492063492063,354,48,0.875
2,511.80317460317025,1490,57,0.859375
0,0,0,1,0.875
0,133.23333333333306,341,44,0.890625
2,98.18333333333334,231,31,0.875
0,76.6666666666667,147,19,0.890625
0,204.66666666666723,403,45,0.90625
0,7.0,12,8,0.921875
0,6.0,6,7,0.9375
5,377.68928571428364,1499,55,0.875
0,9.0,11,9,0.890625
2,2.0,2,2,0.875
3,97.33333333333334,181,17,0.84375
0,68.51666666666665,146,26,0.859375
0,26.333333333333325,49,15,0.875
0,145.2833333333333,238,31,0.890625
0,80.53333333333332,173,23,0.90625
0,24.0,26,10,0.921875
0,12.0,12,11,0.9375
2,211.4833333333334,382,22,0.921875
0,59.23333333333334,116,21,0.9375
3,216.37023809523873,586,35,0.90625
0,0,0,1,0.921875
3,306.4858225108191,1387,63,0.890625
0,53.33333333333333,81,19,0.90625
5,658.2658730158709,2032,64,0.84375
0,80.53333333333325,178,20,0.859375
2,504.57976190475955,1569,59,0.84375
1,229.16666666666723,548,39,0.84375
0,25.0,29,10,0.859375
2,7.0,7,3,0.84375
0,35.33333333333332,67,20,0.859375
0,11.0,11,9,0.875
0,143.53809523809517,289,31,0.890625
1,529.1738095238072,1330,64,0.890625
0,60.33333333333334,69,10,0.90625
0,2.0,2,4,0.921875
0,25.500000000000007,46,21,0.9375
2,20.5,22,6,0.921875
0,14.5,22,9,0.9375
3,498.6809523809472,1550,64,0.90625
0,13.0,13,6,0.921875
2,33.666666666666664,46,11,0.90625
1,1.0,1,2,0.90625
2,140.33333333333312,305,28,0.890625
0,114.73333333333326,226,21,0.90625
0,291.96666666666704,780,50,0.921875
3,220.73333333333338,554,64,0.890625
0,3.0,4,4,0.90625
2,32.249999999999986,70,14,0.890625
2,85.75000000000004,164,27,0.875
0,330.9785714285706,777,47,0.890625
2,260.17857142857054,732,64,0.875
4,116.96666666666663,331,27,0.828125
2,17.0,22,8,0.8125
0,0,0,1,0.828125
0,0,0,1,0.84375
1,1.0,1,2,0.84375
1,98.0,150,19,0.84375
0,0,0,1,0.859375
0,109.0047619047619,294,34,0.875
0,142.04047619047623,516,29,0.890625
1,203.3523809523807,435,36,0.890625
0,87.66666666666669,129,19,0.90625
0,3.5,4,4,0.921875
5,376.22301587301166,1420,56,0.859375
0,208.3595238095233,437,42,0.875
0,0,0,1,0.890625
0,47.33333333333333,63,19,0.90625
0,40.83333333333333,66,14,0.921875
0,2.0,2,3,0.9375
2,26.666666666666664,37,18,0.921875
0,0,0,1,0.9375
2,703.6186507936491,2127,63,0.921875
4,350.81547619047245,1227,60,0.875
2,15.000000000000002,24,15,0.859375
3,747.2500000000016,1570,64,0.828125
0,0,0,1,0.84375
0,35.833333333333336,50,13,0.859375
0,7.0,7,7,0.875
2,341.8023809523809,909,49,0.859375
1,36.0,58,11,0.859375
0,0,0,1,0.875
2,1.0,1,1,0.859375
0,211.53333333333396,492,36,0.875
0,0,0,1,0.890625
0,22.833333333333336,38,12,0.90625
2,204.40000000000052,453,42,0.890625
