outflow,time,size,area,rho
0,0,0,1,0.75
0,0,0,1,0.78125
0,12.0,13,7,0.8125
0,26.999999999999996,43,20,0.84375
0,4.0,4,5,0.875
4,96.49999999999999,159,15,0.78125
1,96.24999999999997,206,21,0.78125
3,131.99999999999977,224,32,0.71875
0,0,0,1,0.75
0,50.0,61,11,0.78125
0,3.5,4,6,0.8125
3,15.750000000000002,29,9,0.75
0,46.99999999999998,74,12,0.78125
0,37.0,38,17,0.8125
0,31.333333333333336,56,10,0.84375
1,95.56666666666673,162,29,0.84375
0,2.0,2,4,0.875
0,3.0,3,5,0.90625
3,92.00000000000003,170,22,0.84375
0,14.0,15,7,0.875
2,74.01666666666672,141,24,0.84375
2,91.6666666666666,183,20,0.8125
0,2.0,2,3,0.84375
1,30.0,46,21,0.84375
3,37.166666666666664,52,17,0.78125
0,40.21666666666664,78,14,0.8125
0,11.333333333333334,13,7,0.84375
1,19.5,21,11,0.84375
2,83.5166666666667,187,27,0.8125
0,5.0,5,7,0.84375
0,0,0,1,0.875
0,0,0,1,0.90625
1,12.0,12,10,0.90625
3,80.4500000000001,199,29,0.84375
0,23.0,23,10,0.875
0,7.5,10,5,0.90625
0,15.499999999999998,28,9,0.9375
4,103.98333333333342,228,32,0.84375
1,53.99999999999999,75,15,0.84375
0,2.0,2,3,0.875
2,5.0,5,3,0.84375
0,0,0,1,0.875
1,6.5,8,4,0.875
0,22.416666666666668,55,17,0.90625
1,47.700000000000045,131,20,0.90625
1,180.75000000000006,263,24,0.90625
3,96.73333333333332,195,25,0.84375
0,2.0,2,4,0.875
0,0,0,1,0.90625
0,2.0,2,3,0.9375
3,260.9000000000005,515,32,0.875
2,3.0,3,3,0.84375
2,81.74999999999999,194,24,0.8125
0,33.5,57,15,0.84375
0,0,0,1,0.875
2,4.5,6,4,0.84375
2,25.666666666666668,36,12,0.8125
0,0,0,1,0.84375
0,26.666666666666668,38,10,0.875
1,21.0,21,6,0.875
1,96.33333333333337,126,22,0.875
0,7.0,7,7,0.90625
2,23.833333333333332,36,11,0.875
2,45.25000000000004,91,19,0.84375
0,20.0,22,10,0.875
2,182.20000000000041,441,28,0.84375
0,0,0,1,0.875
0,4.0,6,4,0.90625
0,0,0,1,0.9375
1,74.58333333333331,124,26,0.9375
2,5.0,5,3,0.90625
2,33.83333333333333,42,15,0.875
2,8.0,9,7,0.84375
0,20.33333333333334,41,15,0.875
0,0,0,1,0.90625
0,0,0,1,0.9375
2,11.166666666666664,21,12,0.90625
2,4.0,4,3,0.875
0,16.5,18,7,0.90625
4,227.9583333333336,494,32,0.8125
0,30.333333333333336,38,10,0.84375
1,122.1666666666666,174,24,0.84375
1,33.5,34,19,0.84375
1,22.5,28,9,0.84375
5,89.50000000000001,128,17,0.71875
0,2.0,2,3,0.75
0,12.0,12,10,0.78125
0,0,0,1,0.8125
0,19.0,26,8,0.84375
0,50.499999999999986,88,17,0.875
0,140.8666666666665,252,30,0.90625
2,34.91666666666665,54,14,0.875
2,126.66666666666642,321,31,0.84375
0,71.83333333333331,117,21,0.875
0,12.0,12,7,0.90625
1,12.0,18,9,0.90625
1,3.0,3,4,0.90625
1,22.583333333333336,44,11,0.90625
1,61.41666666666672,113,28,0.90625
3,113.63333333333328,301,31,0.84375
2,1.0,1,1,0.8125
2,51.83333333333333,82,14,0.78125
0,34.5,38,12,0.8125
0,9.0,10,5,0.84375
0,22.0,22,8,0.875
1,151.13333333333324,327,30,0.875
1,7.5,8,5,0.875
3,203.61666666666667,430,29,0.8125
0,51.16666666666666,66,18,0.84375
1,27.0,34,12,0.84375
0,54.833333333333336,63,12,0.875
0,39.66666666666667,58,15,0.90625
0,5.5,6,4,0.9375
4,121.16666666666661,275,32,0.84375
0,0,0,1,0.875
0,0,0,1,0.90625
2,29.16666666666666,44,15,0.875
3,149.99999999999994,266,21,0.8125
1,52.16666666666668,64,9,0.8125
0,0,0,1,0.84375
0,0,0,1,0.875
3,114.74999999999994,214,25,0.8125
0,0,0,1,0.84375
0,86.3333333333334,148,30,0.875
1,100.33333333333331,161,19,0.875
0,70.83333333333336,108,21,0.90625
0,17.0,17,9,0.9375
3,115.28333333333327,316,32,0.875
1,45.50000000000002,66,11,0.875
1,5.0,5,4,0.875
0,36.0,44,13,0.90625
4,84.28333333333329,266,32,0.8125
1,9.0,9,7,0.8125
0,0,0,1,0.84375
1,54.28333333333337,146,19,0.84375
0,34.166666666666664,47,15,0.875
3,36.5,47,10,0.8125
0,0,0,1,0.84375
1,13.0,19,9,0.84375
0,1.0,1,3,0.875
0,191.43333333333362,478,29,0.90625
3,123.70714285714291,318,32,0.84375
3,129.83333333333314,283,26,0.78125
2,70.83333333333341,136,28,0.75
0,2.0,2,4,0.78125
0,26.833333333333336,31,15,0.8125
1,2.0,2,3,0.8125
0,77.28333333333326,161,27,0.84375
0,29.833333333333336,44,14,0.875
0,80.75000000000003,132,16,0.90625
0,85.2666666666666,149,20,0.9375
5,100.94047619047633,343,32,0.8125
0,13.0,15,9,0.84375
0,5.0,6,4,0.875
4,161.86666666666667,278,31,0.78125
2,12.5,16,9,0.75
0,42.0,50,16,0.78125
2,63.650000000000034,168,17,0.75
0,76.0,103,15,0.78125
0,0,0,1,0.8125
0,147.75000000000006,233,22,0.84375
1,93.58333333333333,122,23,0.84375
0,72.16666666666669,108,23,0.875
0,3.0,4,4,0.90625
0,19.5,26,8,0.9375
2,51.33333333333342,114,25,0.90625
0,43.833333333333336,59,13,0.9375
2,10.0,14,9,0.90625
3,60.333333333333414,157,26,0.84375
3,277.4833333333332,715,32,0.78125
0,2.0,2,3,0.8125
2,103.8333333333333,136,26,0.78125
0,58.0,75,16,0.8125
2,12.5,13,6,0.78125
0,2.0,2,4,0.8125
0,89.0666666666667,182,16,0.84375
0,0,0,1,0.875
4,36.99999999999999,67,10,0.78125
0,0,0,1,0.8125
0,31.5,40,14,0.84375
0,0,0,1,0.875
1,129.69999999999987,209,24,0.875
0,0,0,1,0.90625
0,91.30000000000005,166,24,0.9375
4,246.3666666666671,461,32,0.84375
2,11.0,11,8,0.8125
2,193.6499999999998,447,29,0.78125
0,0,0,1,0.8125
1,16.5,21,9,0.8125
2,27.0,35,18,0.78125
0,18.5,24,8,0.8125
0,2.0,2,3,0.84375
0,12.5,14,10,0.875
0,80.33333333333336,110,20,0.90625
0,5.0,5,5,0.9375
3,9.0,9,8,0.875
2,2.0,2,2,0.84375
1,138.6499999999998,345,28,0.84375
0,103.13333333333313,196,22,0.875
0,118.14999999999985,218,30,0.90625
2,159.8333333333332,272,32,0.875
2,13.333333333333332,19,8,0.84375
1,43.5,64,12,0.84375
0,0,0,1,0.875
2,109.73333333333328,214,24,0.84375
0,28.5,32,9,0.875
2,32.74999999999999,71,18,0.84375
2,8.0,8,4,0.8125
0,13.333333333333334,17,13,0.84375
2,190.88095238095244,385,24,0.8125
0,86.83333333333334,135,26,0.84375
0,34.0,50,12,0.875
2,15.166666666666668,26,7,0.84375
0,7.0,7,5,0.875
0,0,0,1,0.90625
0,20.33333333333333,37,13,0.9375
3,163.66666666666669,288,32,0.875
3,29.666666666666668,56,16,0.8125
0,107.74999999999999,185,19,0.84375
0,0,0,1,0.875
2,37.66666666666666,50,15,0.84375
0,0,0,1,0.875
0,117.08333333333327,274,29,0.90625
0,0,0,1,0.9375
5,54.16666666666668,104,32,0.8125
0,6.0,6,5,0.84375
0,2.0,2,3,0.875
0,87.91666666666671,174,23,0.90625
0,84.5,102,11,0.9375
6,157.24999999999991,302,32,0.78125
0,11.0,14,8,0.8125
0,2.0,2,4,0.84375
1,52.5,76,12,0.84375
0,190.89285714285728,461,30,0.875
2,50.000000000000014,76,13,0.84375
0,0,0,1,0.875
0,23.0,23,11,0.90625
2,40.16666666666667,52,11,0.875
1,90.16666666666673,168,20,0.875
0,33.51666666666665,74,18,0.90625
5,19.5,30,6,0.78125
2,9.0,10,4,0.75
0,31.499999999999996,43,10,0.78125
0,7.0,7,5,0.8125
1,1.0,1,2,0.8125
0,0,0,1,0.84375
3,51.0,86,20,0.78125
0,34.83333333333333,49,13,0.8125
0,22.833333333333336,46,17,0.84375
0,10.833333333333332,21,13,0.875
0,4.5,6,5,0.90625
1,154.2833333333334,398,32,0.90625
0,52.83333333333332,89,15,0.9375
3,90.40000000000003,200,32,0.875
2,84.4666666666666,165,32,0.84375
0,66.50000000000001,118,16,0.875
1,2.0,2,3,0.875
2,12.0,12,6,0.84375
0,87.16666666666664,189,19,0.875
2,30.0,39,10,0.84375
0,123.74999999999999,210,19,0.875
2,36.83333333333333,54,15,0.84375
2,169.1333333333335,394,32,0.8125
0,0,0,1,0.84375
1,2.0,2,2,0.84375
1,65.52857142857147,180,24,0.84375
0,0,0,1,0.875
0,18.0,18,6,0.90625
0,15.0,16,7,0.9375
0,9.5,12,8,0.96875
0,23.1,56,14,1.0
2,43.5,61,12,0.96875
7,201.43333333333356,435,32,0.78125
0,75.91666666666666,140,29,0.8125
0,0,0,1,0.84375
2,57.01666666666666,119,22,0.8125
2,88.33333333333333,125,20,0.78125
0,59.500000000000064,138,28,0.8125
0,0,0,1,0.84375
2,48.166666666666664,100,29,0.8125
0,1.0,1,3,0.84375
3,99.33333333333333,169,16,0.78125
1,22.0,28,8,0.78125
0,10.166666666666666,15,7,0.8125
0,13.0,14,6,0.84375
1,3.0,3,3,0.84375
0,52.0,67,13,0.875
2,67.5,86,32,0.84375
2,8.5,10,7,0.8125
0,13.0,13,7,0.84375
0,0,0,1,0.875
1,21.0,25,10,0.875
0,14.0,24,9,0.90625
1,8.0,8,7,0.90625
5,237.3261904761904,656,32,0.78125
0,48.16666666666666,84,14,0.8125
1,60.83333333333334,117,20,0.8125
0,36.5,40,16,0.84375
3,103.75,165,16,0.78125
0,19.166666666666668,24,14,0.8125
0,12.333333333333334,18,8,0.84375
0,2.0,2,3,0.875
2,19.833333333333332,33,12,0.84375
2,3.0,3,2,0.8125
1,55.083333333333336,92,17,0.8125
0,36.0,38,9,0.84375
0,0,0,1,0.875
0,49.75000000000004,94,24,0.90625
2,64.5,99,14,0.875
1,26.0,26,7,0.875
2,161.4999999999998,333,23,0.84375
2,117.69999999999982,252,29,0.8125
2,6.0,6,3,0.78125
0,0,0,1,0.8125
0,35.0,52,12,0.84375
0,71.75000000000006,128,23,0.875
0,25.5,27,11,0.90625
2,34.683333333333316,83,30,0.875
2,84.16666666666664,116,15,0.84375
2,11.5,13,7,0.8125
0,3.0,3,4,0.84375
2,68.23333333333335,135,20,0.8125
0,22.333333333333336,29,9,0.84375
0,22.5,27,12,0.875
0,0,0,1,0.90625
2,274.3500000000007,615,29,0.875
0,10.0,10,9,0.90625
5,44.499999999999986,96,15,0.78125
0,0,0,1,0.8125
0,24.5,33,13,0.84375
4,69.33333333333331,109,13,0.75
0,0,0,1,0.78125
0,51.00000000000001,73,13,0.8125
2,43.08333333333332,64,17,0.78125
0,105.34999999999997,167,22,0.8125
0,0,0,1,0.84375
0,5.0,6,4,0.875
2,119.63333333333333,317,31,0.84375
0,10.0,11,7,0.875
2,112.56666666666665,294,27,0.84375
2,24.83333333333332,59,23,0.8125
0,3.0,3,3,0.84375
1,124.33333333333313,213,27,0.84375
1,108.45000000000003,183,29,0.84375
2,188.51666666666682,355,24,0.8125
0,0,0,1,0.84375
2,89.6666666666667,155,19,0.8125
0,70.98333333333332,136,22,0.84375
1,54.05000000000004,128,24,0.84375
0,19.5,23,11,0.875
2,10.0,11,5,0.84375
2,3.0,3,4,0.8125
0,6.0,8,4,0.84375
0,4.0,4,5,0.875
0,11.0,11,7,0.90625
0,25.0,25,9,0.9375
3,72.58333333333337,133,22,0.875
0,32.66666666666665,56,14,0.90625
3,38.16666666666667,50,23,0.84375
0,49.50000000000002,76,17,0.875
