outflow,time,size,area,rho
0,2.0,2,3,0.75
1,27.000000000000004,41,15,0.75
0,0,0,1,0.8125
2,12.0,15,8,0.75
0,35.5,39,11,0.8125
0,0,0,1,0.875
0,0,0,1,0.9375
4,86.49999999999996,123,16,0.75
0,0,0,1,0.8125
1,6.0,6,5,0.8125
0,0,0,1,0.875
1,12.0,13,6,0.875
0,0,0,1,0.9375
4,37.33333333333333,73,16,0.75
2,28.500000000000007,50,13,0.6875
0,0,0,1,0.75
0,2.0,2,4,0.8125
0,29.5,59,13,0.875
4,66.75000000000003,130,14,0.6875
0,2.0,2,3,0.75
0,2.0,2,3,0.8125
0,21.0,21,10,0.875
0,0,0,1,0.9375
3,29.833333333333336,40,16,0.8125
0,55.5,59,13,0.875
3,9.0,11,4,0.75
2,29.0,33,12,0.6875
0,0,0,1,0.75
2,7.5,8,4,0.6875
0,8.0,8,7,0.75
0,0,0,1,0.8125
0,11.5,17,11,0.875
2,12.0,17,9,0.8125
0,42.5,54,14,0.875
2,3.5,5,5,0.8125
0,15.0,22,8,0.875
4,58.83333333333334,81,16,0.6875
0,2.0,2,3,0.75
0,17.833333333333336,32,10,0.8125
2,21.0,23,13,0.75
0,0,0,1,0.8125
1,2.0,2,2,0.8125
1,43.5,56,13,0.8125
2,6.0,6,3,0.75
0,16.5,20,7,0.8125
3,18.499999999999996,34,16,0.6875
0,0,0,1,0.75
1,17.0,21,6,0.75
0,4.0,4,5,0.8125
0,0,0,1,0.875
4,43.08333333333334,70,16,0.6875
1,2.0,2,2,0.6875
0,17.0,19,13,0.75
0,15.0,18,9,0.8125
0,21.5,24,8,0.875
3,53.0,73,14,0.75
0,0,0,1,0.8125
0,0,0,1,0.875
1,25.0,25,12,0.875
2,4.0,4,2,0.8125
1,2.0,2,2,0.8125
0,44.50000000000001,65,14,0.875
2,6.0,6,7,0.8125
1,39.999999999999986,72,15,0.8125
0,5.0,8,8,0.875
0,4.0,4,3,0.9375
4,38.58333333333333,66,16,0.75
0,38.0,43,11,0.8125
0,10.0,10,10,0.875
2,27.166666666666664,35,9,0.8125
4,23.83333333333334,34,16,0.625
0,11.0,12,7,0.6875
0,23.5,30,9,0.75
0,2.0,2,3,0.8125
1,38.41666666666666,66,16,0.8125
0,0,0,1,0.875
1,3.0,3,4,0.875
2,41.83333333333333,74,15,0.8125
0,0,0,1,0.875
4,75.83333333333337,103,14,0.6875
0,2.0,2,4,0.75
0,6.0,6,4,0.8125
3,5.0,5,3,0.6875
0,8.0,8,5,0.75
0,38.83333333333333,53,14,0.8125
0,5.0,5,7,0.875
0,20.833333333333336,28,9,0.9375
4,42.33333333333333,60,16,0.75
1,3.0,3,3,0.75
0,6.0,6,6,0.8125
0,0,0,1,0.875
5,35.33333333333332,64,12,0.625
0,4.0,4,6,0.6875
0,11.5,14,5,0.75
2,81.58333333333329,96,14,0.6875
0,0,0,1,0.75
0,11.999999999999998,20,13,0.8125
3,3.0,3,2,0.6875
1,9.916666666666666,20,9,0.6875
1,37.833333333333336,52,11,0.6875
1,4.0,6,5,0.6875
3,28.0,39,15,0.5625
0,15.0,15,7,0.625
0,4.0,4,3,0.6875
0,22.0,23,9,0.75
1,9.0,9,6,0.75
0,0,0,1,0.8125
3,48.5,59,12,0.6875
2,7.5,12,8,0.625
0,7.0,9,9,0.6875
2,5.0,5,3,0.625
0,0,0,1,0.6875
1,2.0,2,2,0.6875
0,2.0,2,4,0.75
0,13.0,13,6,0.8125
2,76.25000000000006,137,13,0.75
0,0,0,1,0.8125
2,5.0,5,3,0.75
1,2.0,2,2,0.75
0,2.0,2,3,0.8125
0,0,0,1,0.875
0,0,0,1,0.9375
2,44.499999999999986,90,16,0.875
0,0,0,1,0.9375
2,23.0,28,9,0.875
2,4.5,5,4,0.8125
0,2.0,2,3,0.875
0,0,0,1,0.9375
5,84.58333333333336,177,16,0.6875
0,1.0,1,3,0.75
0,14.0,16,12,0.8125
0,4.0,4,6,0.875
2,45.5,52,15,0.8125
2,2.0,2,3,0.75
2,46.33333333333333,75,13,0.6875
0,6.5,9,9,0.75
0,43.91666666666666,83,16,0.8125
1,2.0,2,2,0.8125
0,13.0,14,8,0.875
1,3.0,3,4,0.875
0,0,0,1,0.9375
3,29.666666666666664,40,11,0.8125
0,0,0,1,0.875
2,22.0,23,13,0.8125
2,34.5,42,15,0.75
0,3.5,4,4,0.8125
0,1.0,1,3,0.875
2,3.5,5,4,0.8125
2,54.5,62,15,0.75
0,26.5,31,9,0.8125
1,3.5,4,4,0.8125
1,9.0,9,4,0.8125
0,0,0,1,0.875
1,6.0,6,4,0.875
0,7.0,7,5,0.9375
2,24.666666666666664,41,12,0.875
0,8.5,10,6,0.9375
4,51.333333333333364,83,16,0.75
0,0,0,1,0.8125
4,14.5,19,5,0.625
0,18.0,18,6,0.6875
0,19.5,21,8,0.75
0,0,0,1,0.8125
3,9.0,9,3,0.6875
1,30.83333333333332,63,15,0.6875
0,7.0,7,5,0.75
0,0,0,1,0.8125
3,47.0,73,16,0.6875
0,16.0,16,9,0.75
0,0,0,1,0.8125
0,2.0,2,4,0.875
3,44.583333333333314,68,16,0.75
0,13.0,13,11,0.8125
1,3.0,3,4,0.8125
2,6.0,6,4,0.75
0,20.0,22,6,0.8125
0,2.0,2,3,0.875
2,2.0,2,2,0.8125
0,0,0,1,0.875
2,23.0,25,10,0.8125
1,50.0,56,15,0.8125
0,4.0,4,3,0.875
1,32.83333333333332,61,16,0.875
1,51.16666666666666,84,16,0.875
6,69.49999999999999,154,16,0.5625
0,1.0,1,3,0.625
0,0,0,1,0.6875
0,0,0,1,0.75
2,47.499999999999986,79,16,0.6875
0,18.0,27,9,0.75
0,3.5,4,5,0.8125
1,87.33333333333331,108,16,0.8125
4,66.66666666666671,104,12,0.625
0,0,0,1,0.6875
0,17.5,18,9,0.75
0,0,0,1,0.8125
2,27.833333333333343,51,16,0.75
1,49.833333333333336,65,16,0.75
0,0,0,1,0.8125
0,8.0,8,8,0.875
0,0,0,1,0.9375
0,2.0,2,3,1.0
3,54.41666666666663,92,16,0.875
2,43.833333333333314,70,16,0.8125
0,21.5,23,11,0.875
0,0,0,1,0.9375
2,1.0,1,1,0.875
3,53.0,96,16,0.75
1,21.5,26,9,0.75
1,2.0,2,2,0.75
0,0,0,1,0.8125
0,18.666666666666664,32,10,0.875
0,0,0,1,0.9375
0,19.0,26,7,1.0
3,98.0,122,11,0.875
2,3.0,3,3,0.8125
2,21.0,32,13,0.75
0,0,0,1,0.8125
0,0,0,1,0.875
2,38.166666666666664,75,12,0.8125
3,37.5,46,16,0.6875
0,2.0,2,3,0.75
0,43.5,51,10,0.8125
1,19.0,24,9,0.8125
0,14.5,20,14,0.875
1,22.833333333333336,28,11,0.875
0,0,0,1,0.9375
1,9.0,9,4,0.9375
1,2.0,2,2,0.9375
2,3.0,3,2,0.875
0,0,0,1,0.9375
2,2.0,2,2,0.875
2,35.83333333333333,59,15,0.8125
0,0,0,1,0.875
4,73.49999999999999,103,11,0.6875
0,0,0,1,0.75
0,4.0,4,6,0.8125
2,16.0,19,6,0.75
2,15.5,21,9,0.6875
0,0,0,1,0.75
2,29.333333333333332,47,12,0.6875
0,7.5,10,7,0.75
0,0,0,1,0.8125
2,63.66666666666666,87,11,0.75
1,9.5,12,11,0.75
0,50.08333333333335,67,16,0.8125
2,5.0,5,3,0.75
1,11.5,17,8,0.75
0,8.0,8,6,0.8125
2,41.833333333333336,59,13,0.75
2,30.49999999999999,46,15,0.6875
0,0,0,1,0.75
1,2.0,2,2,0.75
0,8.0,12,6,0.8125
0,0,0,1,0.875
0,14.0,14,8,0.9375
1,23.333333333333325,39,10,0.9375
2,8.0,8,4,0.875
3,54.333333333333336,86,16,0.75
0,2.0,2,3,0.8125
1,30.499999999999996,35,9,0.8125
1,10.166666666666666,16,7,0.8125
1,25.0,35,15,0.8125
1,36.166666666666664,66,16,0.8125
0,14.5,17,9,0.875
0,2.0,2,3,0.9375
4,92.25,133,16,0.75
1,26.5,34,13,0.75
0,35.66666666666667,46,11,0.8125
0,0,0,1,0.875
0,34.49999999999999,50,11,0.9375
5,32.33333333333333,47,16,0.6875
0,1.0,1,3,0.75
0,11.0,12,7,0.8125
0,7.0,7,5,0.875
2,3.0,3,3,0.8125
3,27.333333333333325,51,16,0.6875
2,14.5,15,6,0.625
0,10.0,10,6,0.6875
1,3.5,4,5,0.6875
0,25.0,31,8,0.75
1,32.0,47,15,0.75
1,29.833333333333332,53,10,0.75
0,0,0,1,0.8125
1,18.0,20,10,0.8125
0,5.0,5,6,0.875
1,26.0,31,16,0.875
1,2.0,2,2,0.875
2,80.33333333333333,119,14,0.8125
0,9.5,13,11,0.875
1,1.0,1,2,0.875
1,18.833333333333336,28,11,0.875
2,43.16666666666666,70,14,0.8125
1,3.0,3,4,0.8125
1,63.0,93,16,0.8125
0,10.0,10,6,0.875
2,34.833333333333336,47,16,0.8125
1,58.50000000000008,96,14,0.8125
0,6.0,7,7,0.875
1,15.0,22,8,0.875
2,26.5,35,11,0.8125
0,2.0,2,3,0.875
2,8.5,10,6,0.8125
1,18.166666666666668,30,11,0.8125
1,18.0,20,7,0.8125
0,2.0,2,4,0.875
0,12.0,16,6,0.9375
1,2.0,2,2,0.9375
0,0,0,1,1.0
3,60.833333333333336,108,16,0.875
0,0,0,1,0.9375
4,65.5,104,16,0.75
0,30.333333333333332,38,10,0.8125
2,53.16666666666667,67,15,0.75
0,29.833333333333332,44,16,0.8125
0,16.666666666666664,28,13,0.875
0,4.0,4,4,0.9375
2,29.5,35,13,0.875
3,58.66666666666666,79,16,0.75
0,17.833333333333336,21,7,0.8125
1,7.0,7,4,0.8125
0,12.0,12,8,0.875
2,5.0,5,3,0.8125
0,5.0,6,5,0.875
2,72.00000000000003,103,16,0.8125
0,0,0,1,0.875
1,2.0,2,2,0.875
0,0,0,1,0.9375
0,0,0,1,1.0
5,41.73333333333333,107,16,0.75
0,0,0,1,0.8125
1,54.5,65,15,0.8125
4,28.5,46,16,0.625
0,0,0,1,0.6875
0,7.0,8,5,0.75
0,0,0,1,0.8125
0,0,0,1,0.875
3,5.0,5,3,0.75
0,7.5,10,6,0.8125
0,6.0,6,6,0.875
1,23.333333333333336,40,14,0.875
0,0,0,1,0.9375
1,12.0,18,9,0.9375
4,43.166666666666664,52,16,0.75
2,4.0,4,3,0.6875
0,6.0,8,6,0.75
2,4.0,6,5,0.6875
0,13.5,15,7,0.75
1,26.5,28,9,0.75
0,0,0,1,0.8125
2,17.0,24,8,0.75
0,0,0,1,0.8125
0,18.5,24,6,0.875
3,51.166666666666664,73,16,0.75
0,0,0,1,0.8125
0,2.0,2,3,0.875
2,8.0,10,7,0.8125
1,11.0,11,8,0.8125
0,0,0,1,0.875
2,7.0,7,4,0.8125
1,50.0,60,11,0.8125
1,55.16666666666666,80,15,0.8125
1,6.0,6,5,0.8125
0,54.833333333333336,67,15,0.875
1,24.916666666666664,40,12,0.875
2,5.0,6,4,0.8125
2,25.0,32,9,0.75
1,1.0,1,2,0.75
0,0,0,1,0.8125
2,33.49999999999999,51,10,0.75
0,6.5,11,9,0.8125
0,5.0,5,6,0.875
3,3.0,3,2,0.75
1,53.83333333333334,90,16,0.75
2,8.0,8,5,0.6875
2,1.0,1,1,0.625
0,2.0,2,3,0.6875
0,0,0,1,0.75
2,7.0,7,4,0.6875
2,10.0,10,4,0.625
0,0,0,1,0.6875
2,20.333333333333332,29,11,0.625
0,0,0,1,0.6875
0,0,0,1,0.75
0,3.5,4,5,0.8125
2,2.0,2,3,0.75
0,12.5,14,7,0.8125
0,21.5,30,10,0.875
1,9.5,10,4,0.875
1,35.66666666666667,52,16,0.875
0,8.5,10,4,0.9375
3,18.833333333333336,29,10,0.8125
1,19.5,23,9,0.8125
0,7.0,7,5,0.875
2,11.000000000000002,17,10,0.8125
0,11.0,11,7,0.875
1,15.0,17,9,0.875
2,2.0,2,2,0.8125
2,17.666666666666664,29,11,0.75
2,11.5,15,8,0.6875
0,0,0,1,0.75
0,0,0,1,0.8125
1,25.5,27,8,0.8125
0,18.5,22,6,0.875
0,4.0,4,3,0.9375
3,68.83333333333334,100,16,0.8125
0,5.0,5,7,0.875
0,0,0,1,0.9375
2,21.5,27,8,0.875
3,39.66666666666667,76,16,0.75
0,0,0,1,0.8125
0,0,0,1,0.875
2,21.833333333333336,31,12,0.8125
3,13.833333333333334,20,13,0.6875
0,5.0,5,5,0.75
0,0,0,1,0.8125
0,0,0,1,0.875
1,9.0,10,6,0.875
