outflow,time,size,area,rho
0,0,0,1,0.75
0,0,0,1,0.875
0,0,0,1,1.0
2,7.0,8,4,0.875
3,14.5,19,5,0.625
2,6.5,7,8,0.5
0,2.0,2,3,0.625
0,2.0,2,4,0.75
0,2.0,2,3,0.875
3,13.333333333333334,19,8,0.625
0,0,0,1,0.75
1,10.0,10,6,0.75
2,3.0,3,3,0.625
0,0,0,1,0.75
0,0,0,1,0.875
4,16.0,19,8,0.5
0,1.0,1,3,0.625
1,1.0,1,2,0.625
0,0,0,1,0.75
2,7.0,8,5,0.625
0,6.0,6,5,0.75
1,2.0,2,2,0.75
1,5.0,5,3,0.75
0,0,0,1,0.875
1,2.0,2,2,0.875
2,5.0,5,5,0.75
1,7.5,13,8,0.75
0,0,0,1,0.875
1,1.0,1,2,0.875
1,19.5,25,8,0.875
0,0,0,1,1.0
4,25.833333333333332,38,8,0.625
0,0,0,1,0.75
1,25.0,30,8,0.75
0,0,0,1,0.875
1,10.333333333333332,17,8,0.875
1,4.0,4,3,0.875
2,20.0,29,8,0.75
2,11.0,11,5,0.625
2,11.0,11,6,0.5
0,0,0,1,0.625
2,4.5,5,4,0.5
0,0,0,1,0.625
1,7.0,7,6,0.625
1,2.0,2,2,0.625
0,1.0,1,3,0.75
1,30.0,36,7,0.75
1,6.0,6,4,0.75
1,15.0,16,6,0.75
0,0,0,1,0.875
3,8.0,9,6,0.625
0,0,0,1,0.75
1,3.0,3,4,0.75
0,0,0,1,0.875
3,17.0,21,8,0.625
2,1.0,1,1,0.5
0,2.0,2,3,0.625
0,4.0,4,3,0.75
1,1.0,1,2,0.75
2,9.5,10,7,0.625
1,2.0,2,3,0.625
0,0,0,1,0.75
1,19.0,25,8,0.75
0,3.5,4,4,0.875
0,0,0,1,1.0
2,9.5,10,3,0.875
2,11.5,15,7,0.75
0,2.0,2,3,0.875
1,5.5,6,3,0.875
1,17.0,17,8,0.875
2,12.0,17,7,0.75
1,6.5,8,6,0.75
0,0,0,1,0.875
1,4.0,4,5,0.875
2,16.0,19,8,0.75
0,0,0,1,0.875
2,20.0,20,8,0.75
1,8.0,8,4,0.75
1,10.0,10,5,0.75
1,2.0,2,2,0.75
1,6.0,6,4,0.75
1,18.0,18,5,0.75
0,20.0,24,8,0.875
1,2.0,2,3,0.875
2,10.0,11,8,0.75
2,20.0,22,7,0.625
0,3.0,3,4,0.75
1,12.5,17,8,0.75
0,2.0,2,3,0.875
2,2.0,2,2,0.75
2,2.0,2,2,0.625
0,0,0,1,0.75
0,0,0,1,0.875
2,6.5,8,5,0.75
1,3.0,3,3,0.75
2,19.0,22,8,0.625
0,0,0,1,0.75
0,15.0,15,6,0.875
1,5.5,7,6,0.875
0,0,0,1,1.0
4,8.5,14,8,0.625
0,0,0,1,0.75
0,0,0,1,0.875
2,29.0,34,7,0.75
0,2.0,2,3,0.875
1,3.0,3,4,0.875
2,11.0,15,8,0.75
0,0,0,1,0.875
2,7.0,9,7,0.75
0,1.0,1,3,0.875
2,9.0,12,8,0.75
0,0,0,1,0.875
0,0,0,1,1.0
1,16.666666666666664,34,8,1.0
2,39.5,48,8,0.875
1,17.0,18,6,0.875
2,4.0,4,5,0.75
1,16.0,18,7,0.75
2,5.0,5,4,0.625
2,1.0,1,1,0.5
0,0,0,1,0.625
0,10.0,10,7,0.75
1,4.0,4,3,0.75
1,10.0,12,7,0.75
1,2.0,2,2,0.75
0,2.0,2,4,0.875
2,3.0,3,2,0.75
0,0,0,1,0.875
1,18.833333333333336,28,7,0.875
1,6.0,6,4,0.875
2,1.0,1,1,0.75
0,0,0,1,0.875
4,18.333333333333332,27,8,0.5
0,3.0,3,4,0.625
0,0,0,1,0.75
2,5.5,7,6,0.625
0,2.0,2,4,0.75
2,7.0,7,6,0.625
4,7.5,9,3,0.25
0,1.0,1,3,0.375
0,0,0,1,0.5
0,0,0,1,0.625
0,1.0,1,3,0.75
0,0,0,1,0.875
2,3.0,3,3,0.75
1,28.666666666666668,38,7,0.75
0,0,0,1,0.875
1,64.0,71,8,0.875
2,9.0,9,7,0.75
1,2.0,2,3,0.75
0,0,0,1,0.875
1,18.0,18,7,0.875
2,1.0,1,1,0.75
0,0,0,1,0.875
0,0,0,1,1.0
2,3.0,3,3,0.875
0,2.0,2,3,1.0
3,17.666666666666664,28,8,0.75
2,8.0,9,6,0.625
2,11.0,11,4,0.5
0,0,0,1,0.625
2,1.0,1,1,0.5
0,10.0,10,6,0.625
0,0,0,1,0.75
0,2.0,2,4,0.875
0,0,0,1,1.0
2,2.0,2,2,0.875
1,1.0,1,2,0.875
2,11.0,13,5,0.75
0,2.0,2,3,0.875
2,5.0,5,3,0.75
1,2.0,2,2,0.75
2,11.5,14,5,0.625
1,9.0,9,7,0.625
0,2.0,2,4,0.75
0,0,0,1,0.875
3,13.5,19,6,0.625
0,9.0,10,6,0.75
0,0,0,1,0.875
1,4.0,4,4,0.875
1,13.0,13,8,0.875
2,2.0,2,3,0.75
2,5.0,8,5,0.625
1,1.0,1,2,0.625
1,23.5,25,8,0.625
0,0,0,1,0.75
2,13.5,14,6,0.625
0,0,0,1,0.75
0,9.5,12,7,0.875
2,16.5,24,8,0.75
1,11.0,12,7,0.75
1,6.0,6,4,0.75
2,2.0,2,3,0.625
0,0,0,1,0.75
