outflow,time,size,area,rho
0,60.500000000000014,78,13,0.921875
3,849.9810966810904,3871,116,0.90625
1,131.3333333333333,222,25,0.90625
2,1041.4436507936502,3524,81,0.8984375
0,0,0,1,0.90625
3,1685.9068001442952,10052,112,0.890625
0,8.0,12,6,0.8984375
0,52.166666666666664,82,21,0.90625
3,753.6322538572585,4539,119,0.890625
2,575.2809523809485,1729,45,0.8828125
0,34.91666666666666,48,17,0.890625
0,43.5,57,21,0.8984375
0,509.0940476190435,1560,101,0.90625
0,226.21269841269947,741,76,0.9140625
0,44.5,48,11,0.921875
2,308.37380952380767,1004,60,0.9140625
0,6.5,10,5,0.921875
0,136.70952380952383,437,44,0.9296875
0,321.4166666666663,757,45,0.9375
3,5.0,7,3,0.921875
4,1021.9019119769268,3806,108,0.8984375
5,641.8373015873057,2386,66,0.8671875
0,544.980952380953,1622,75,0.875
0,2.0,2,3,0.8828125
0,22.5,26,8,0.890625
0,472.0321428571405,1383,45,0.8984375
1,26.0,26,10,0.8984375
0,386.7183621933564,1670,54,0.90625
2,338.4095238095229,1006,42,0.8984375
0,12.0,18,8,0.90625
1,149.9630952380952,634,57,0.90625
0,142.38809523809581,519,61,0.9140625
0,1601.87642357641,7008,112,0.921875
0,5.0,5,7,0.9296875
0,809.6638888888967,2616,79,0.9375
0,142.91666666666657,197,24,0.9453125
5,101.11666666666662,245,32,0.9140625
0,81.33333333333331,127,16,0.921875
3,229.94999999999942,641,47,0.90625
0,9.0,9,6,0.9140625
2,1116.5553058053067,4918,128,0.90625
0,815.8904095904089,4050,118,0.9140625
2,20.5,21,9,0.90625
0,2.0,2,3,0.9140625
0,24.5,28,9,0.921875
3,315.6952380952356,884,63,0.90625
0,92.53333333333326,189,26,0.9140625
3,241.76190476190595,705,54,0.8984375
0,918.0440476190655,3267,80,0.90625
0,76.25000000000003,187,33,0.9140625
3,408.22777777777475,1221,83,0.8984375
5,346.382106782104,1675,76,0.8671875
0,70.00000000000001,146,26,0.875
0,73.23333333333339,167,24,0.8828125
0,360.41428571428366,916,55,0.890625
0,0,0,1,0.8984375
3,17.5,19,15,0.8828125
0,0,0,1,0.890625
0,426.94563492063236,1682,67,0.8984375
0,102.65000000000008,256,28,0.90625
0,4.0,4,5,0.9140625
0,42.33333333333333,52,11,0.921875
0,0,0,1,0.9296875
0,0,0,1,0.9375
2,129.16666666666657,276,32,0.9296875
2,10.5,14,4,0.921875
1,716.9623015872954,2642,118,0.921875
0,373.20559163059147,1704,107,0.9296875
4,503.58297258297404,2472,66,0.90625
0,909.6476190476197,3427,84,0.9140625
0,257.5583333333341,677,43,0.921875
4,149.8166666666667,359,33,0.8984375
0,446.50238095237876,1250,67,0.90625
0,155.8666666666666,320,32,0.9140625
4,1193.962104562117,4844,128,0.890625
3,365.7757936507902,1433,81,0.875
0,12.0,12,10,0.8828125
0,1372.4478105227915,6179,94,0.890625
0,0,0,1,0.8984375
0,20.333333333333336,42,12,0.90625
0,644.7166666666678,2121,67,0.9140625
3,642.0253968253957,1673,65,0.8984375
0,3.0,4,6,0.90625
0,0,0,1,0.9140625
2,269.4139249639248,915,49,0.90625
0,559.2337301587245,1848,70,0.9140625
0,520.7900793650715,2124,93,0.921875
4,1061.2287878787713,4808,128,0.8984375
0,4.0,4,4,0.90625
0,22.666666666666668,26,10,0.9140625
0,20.5,23,11,0.921875
