outflow,time,size,area,rho
4,65,141,22,0.78125
0,0,0,1,0.8125
0,46,71,21,0.84375
0,0,0,1,0.875
2,4,4,3,0.84375
0,10,12,6,0.875
0,6,6,5,0.90625
0,96,170,21,0.9375
2,103,145,21,0.90625
3,31,36,6,0.84375
0,0,0,1,0.875
0,13,22,8,0.90625
4,195,355,32,0.8125
0,0,0,1,0.84375
2,83,190,18,0.8125
0,23,27,9,0.84375
3,91,181,18,0.78125
0,108,180,19,0.8125
1,21,25,8,0.8125
1,4,4,3,0.8125
1,31,78,26,0.8125
0,2,2,4,0.84375
0,114,186,19,0.875
0,4,4,3,0.90625
2,18,27,7,0.875
1,76,80,11,0.875
0,45,122,20,0.90625
7,123,341,32,0.71875
0,5,5,5,0.75
2,1,1,1,0.71875
0,50,84,19,0.75
0,0,0,1,0.78125
0,10,12,6,0.8125
0,7,10,6,0.84375
0,6,6,6,0.875
4,298,629,32,0.78125
0,6,8,6,0.8125
0,0,0,1,0.84375
1,6,8,5,0.84375
0,0,0,1,0.875
1,98,186,27,0.875
0,55,68,17,0.90625
5,112,299,31,0.78125
0,0,0,1,0.8125
4,162,381,24,0.71875
0,2,2,3,0.75
0,0,0,1,0.78125
0,2,2,3,0.8125
1,133,262,32,0.8125
0,6,10,6,0.84375
0,4,4,5,0.875
0,35,45,11,0.90625
3,198,447,26,0.84375
0,0,0,1,0.875
0,18,20,11,0.90625
3,133,298,30,0.84375
0,2,2,3,0.875
2,22,29,12,0.84375
0,0,0,1,0.875
2,213,488,31,0.84375
2,183,414,30,0.8125
2,82,164,21,0.78125
0,3,3,5,0.8125
0,5,5,7,0.84375
0,0,0,1,0.875
2,103,262,32,0.84375
0,2,2,3,0.875
1,13,15,8,0.875
0,0,0,1,0.90625
0,10,10,10,0.9375
2,176,454,28,0.90625
3,68,89,15,0.84375
0,44,116,25,0.875
2,45,56,15,0.84375
0,2,2,3,0.875
1,40,44,13,0.875
0,0,0,1,0.90625
6,163,359,32,0.75
2,49,81,16,0.71875
0,0,0,1,0.75
0,1,1,3,0.78125
0,27,42,14,0.8125
0,73,146,27,0.84375
0,9,12,4,0.875
0,87,204,24,0.90625
0,0,0,1,0.9375
3,419,1074,32,0.875
0,2,2,3,0.90625
0,3,4,5,0.9375
1,3,3,4,0.9375
1,2,2,2,0.9375
3,67,152,21,0.875
0,48,94,23,0.90625
1,26,64,19,0.90625
4,102,229,30,0.8125
2,3,3,3,0.78125
0,0,0,1,0.8125
0,0,0,1,0.84375
0,104,195,22,0.875
1,147,350,31,0.875
0,6,6,5,0.90625
4,302,658,32,0.8125
0,17,21,7,0.84375
1,3,5,6,0.84375
0,22,34,12,0.875
0,3,4,6,0.90625
2,15,16,6,0.875
3,148,349,30,0.8125
0,0,0,1,0.84375
2,87,213,20,0.8125
0,14,14,8,0.84375
0,33,72,21,0.875
0,7,14,10,0.90625
4,81,246,32,0.8125
0,5,6,6,0.84375
1,51,56,7,0.84375
2,2,2,3,0.8125
0,24,54,11,0.84375
1,5,5,3,0.84375
3,37,60,13,0.78125
0,27,27,11,0.8125
0,15,22,7,0.84375
0,7,11,7,0.875
0,70,188,24,0.90625
1,17,26,8,0.90625
0,12,12,8,0.9375
2,1,1,1,0.90625
2,15,20,8,0.875
2,148,422,31,0.84375
0,4,4,5,0.875
0,3,3,5,0.90625
4,68,162,32,0.8125
0,0,0,1,0.84375
0,37,49,14,0.875
1,8,13,8,0.875
1,53,69,15,0.875
1,8,8,4,0.875
0,2,2,3,0.90625
3,28,83,19,0.84375
1,84,231,32,0.84375
1,89,207,29,0.84375
0,24,30,12,0.875
1,1,1,2,0.875
1,24,30,11,0.875
2,58,89,12,0.84375
0,57,130,28,0.875
2,3,5,4,0.84375
2,102,243,31,0.8125
2,16,29,8,0.78125
0,35,47,15,0.8125
0,2,2,3,0.84375
0,21,42,21,0.875
1,54,108,22,0.875
0,170,392,30,0.90625
0,23,26,11,0.9375
2,90,133,12,0.90625
0,15,17,13,0.9375
1,2,2,2,0.9375
6,167,344,32,0.78125
0,0,0,1,0.8125
0,21,22,11,0.84375
2,62,112,30,0.8125
0,5,6,4,0.84375
3,87,157,20,0.78125
1,19,26,9,0.78125
0,19,28,8,0.8125
5,75,154,22,0.6875
0,18,18,11,0.71875
0,36,52,11,0.75
0,12,12,7,0.78125
0,45,75,19,0.8125
1,4,4,3,0.8125
0,26,43,19,0.84375
1,38,57,19,0.84375
1,56,73,14,0.84375
0,49,87,14,0.875
1,5,6,4,0.875
1,8,14,6,0.875
2,7,9,5,0.84375
0,24,26,8,0.875
2,39,77,14,0.84375
0,0,0,1,0.875
0,2,2,3,0.90625
0,0,0,1,0.9375
4,63,235,32,0.84375
0,0,0,1,0.875
2,147,358,26,0.84375
1,2,2,3,0.84375
1,30,31,7,0.84375
2,32,81,29,0.8125
1,35,46,17,0.8125
0,7,7,7,0.84375
0,29,42,10,0.875
2,146,296,25,0.84375
0,0,0,1,0.875
0,0,0,1,0.90625
4,181,431,31,0.8125
1,1,1,2,0.8125
0,0,0,1,0.84375
0,12,16,6,0.875
1,25,44,11,0.875
2,1,1,1,0.84375
0,18,32,14,0.875
0,0,0,1,0.90625
1,11,21,12,0.90625
4,152,361,21,0.8125
0,0,0,1,0.84375
0,7,8,6,0.875
0,87,174,19,0.90625
0,0,0,1,0.9375
3,48,133,20,0.875
0,2,2,3,0.90625
2,216,479,32,0.875
0,3,3,5,0.90625
0,0,0,1,0.9375
4,97,274,32,0.84375
0,9,9,11,0.875
1,2,2,3,0.875
3,84,137,22,0.8125
0,3,3,5,0.84375
0,106,149,15,0.875
1,42,79,17,0.875
1,54,91,17,0.875
2,1,1,1,0.84375
0,5,9,7,0.875
1,46,109,25,0.875
2,3,3,2,0.84375
0,70,139,25,0.875
0,125,274,27,0.90625
5,166,353,32,0.78125
0,2,2,3,0.8125
0,0,0,1,0.84375
1,126,191,27,0.84375
1,68,156,18,0.84375
1,1,1,2,0.84375
1,36,64,16,0.84375
1,30,46,11,0.84375
0,28,44,11,0.875
0,2,2,4,0.90625
1,3,3,3,0.90625
2,8,12,6,0.875
4,105,257,32,0.78125
0,0,0,1,0.8125
0,10,14,8,0.84375
1,29,42,9,0.84375
0,19,22,8,0.875
2,50,98,26,0.84375
0,165,298,27,0.875
1,38,91,18,0.875
2,10,13,6,0.84375
2,2,2,3,0.8125
0,20,24,13,0.84375
3,250,597,30,0.78125
0,69,135,19,0.8125
0,40,69,20,0.84375
0,0,0,1,0.875
0,12,26,14,0.90625
1,160,352,23,0.90625
2,1,1,1,0.875
0,30,54,20,0.90625
2,4,4,3,0.875
1,2,2,2,0.875
3,21,31,6,0.8125
2,115,165,17,0.78125
0,2,2,3,0.8125
0,37,64,15,0.84375
2,9,9,6,0.8125
0,132,387,32,0.84375
2,47,82,13,0.8125
0,2,2,3,0.84375
0,51,105,17,0.875
0,89,176,29,0.90625
0,48,57,16,0.9375
2,11,19,9,0.90625
2,89,149,21,0.875
0,68,108,17,0.90625
0,57,139,20,0.9375
2,16,27,12,0.90625
0,121,213,17,0.9375
2,273,703,32,0.90625
2,45,79,13,0.875
2,231,583,24,0.84375
0,0,0,1,0.875
0,124,284,29,0.90625
3,211,424,29,0.84375
1,1,1,2,0.84375
0,17,32,10,0.875
2,10,11,8,0.84375
0,7,12,7,0.875
3,144,265,28,0.8125
0,4,4,4,0.84375
1,33,51,15,0.84375
0,0,0,1,0.875
0,0,0,1,0.90625
0,13,15,11,0.9375
1,67,241,29,0.9375
0,15,22,6,0.96875
