outflow,time,size,area,rho
0,90,221,23,0.90625
0,14,18,12,0.921875
3,455,1899,63,0.890625
1,281,642,53,0.890625
0,0,0,1,0.90625
3,256,676,35,0.875
0,17,23,8,0.890625
0,54,120,43,0.90625
3,65,130,25,0.875
0,3,5,7,0.890625
0,12,18,9,0.90625
3,201,626,36,0.875
0,22,43,16,0.890625
0,0,0,1,0.90625
1,288,824,30,0.90625
0,12,18,9,0.921875
0,16,16,6,0.9375
6,333,1139,43,0.859375
0,147,271,17,0.875
0,0,0,1,0.890625
0,132,280,35,0.90625
0,287,803,43,0.921875
2,38,101,16,0.90625
7,845,2783,64,0.8125
0,2,2,3,0.828125
0,65,90,16,0.84375
0,0,0,1,0.859375
0,0,0,1,0.875
0,10,20,15,0.890625
0,0,0,1,0.90625
4,478,1645,49,0.859375
2,279,823,42,0.84375
0,0,0,1,0.859375
3,218,670,42,0.828125
0,0,0,1,0.84375
0,92,208,20,0.859375
3,434,1169,64,0.828125
0,18,20,6,0.84375
0,2,2,3,0.859375
0,11,11,8,0.875
3,122,430,52,0.84375
2,124,196,21,0.828125
0,105,125,27,0.84375
0,0,0,1,0.859375
0,28,40,14,0.875
0,3,4,4,0.890625
0,9,12,7,0.90625
3,26,31,10,0.875
0,0,0,1,0.890625
0,20,24,7,0.90625
1,128,430,44,0.90625
2,11,15,9,0.890625
0,0,0,1,0.90625
1,5,7,6,0.90625
2,352,1162,58,0.890625
0,103,173,26,0.90625
4,401,1556,61,0.859375
0,92,176,29,0.875
2,52,102,17,0.859375
1,61,222,42,0.859375
2,19,45,13,0.84375
0,0,0,1,0.859375
2,258,695,46,0.84375
0,7,8,4,0.859375
4,483,1120,61,0.8125
0,33,51,19,0.828125
0,73,158,21,0.84375
0,142,440,27,0.859375
1,73,183,19,0.859375
0,1,1,3,0.875
0,13,19,9,0.890625
1,28,51,16,0.890625
0,9,10,5,0.90625
0,99,164,33,0.921875
7,313,856,64,0.828125
0,30,48,14,0.84375
0,108,166,21,0.859375
0,159,382,38,0.875
0,636,2178,61,0.890625
0,21,27,14,0.90625
