outflow,time,size,area,rho
0,0,0,1,0.8125
2,52,79,16,0.75
0,6,6,5,0.8125
0,6,6,6,0.875
3,13,15,5,0.75
0,46,57,12,0.8125
3,28,47,12,0.6875
0,58,87,13,0.75
0,2,2,3,0.8125
3,29,45,16,0.6875
0,14,16,8,0.75
2,5,5,3,0.6875
0,5,5,5,0.75
1,48,71,13,0.75
0,0,0,1,0.8125
0,2,2,3,0.875
2,19,26,7,0.8125
1,15,28,15,0.8125
0,29,50,13,0.875
1,5,5,4,0.875
1,6,6,4,0.875
0,5,7,7,0.9375
2,45,58,14,0.875
2,5,7,7,0.8125
0,0,0,1,0.875
0,0,0,1,0.9375
1,4,4,5,0.9375
3,41,85,16,0.8125
1,32,42,15,0.8125
0,4,4,5,0.875
5,58,107,16,0.625
0,0,0,1,0.6875
0,0,0,1,0.75
3,13,19,7,0.625
0,0,0,1,0.6875
0,0,0,1,0.75
0,51,71,14,0.8125
1,1,1,2,0.8125
0,0,0,1,0.875
0,0,0,1,0.9375
2,42,85,15,0.875
3,40,81,16,0.75
2,14,21,12,0.6875
0,0,0,1,0.75
0,1,1,3,0.8125
2,31,38,14,0.75
1,4,6,7,0.75
0,1,1,3,0.8125
0,0,0,1,0.875
2,13,21,7,0.8125
0,17,17,8,0.875
0,0,0,1,0.9375
3,63,102,16,0.8125
2,16,26,16,0.75
0,0,0,1,0.8125
1,1,1,2,0.8125
1,8,14,7,0.8125
1,16,22,10,0.8125
3,34,51,13,0.6875
0,0,0,1,0.75
1,18,31,8,0.75
0,0,0,1,0.8125
0,6,6,5,0.875
2,39,70,16,0.8125
0,0,0,1,0.875
0,0,0,1,0.9375
3,31,53,16,0.8125
0,16,30,11,0.875
2,60,88,16,0.8125
0,31,42,8,0.875
2,14,14,9,0.8125
2,37,72,16,0.75
0,9,12,8,0.8125
2,15,21,8,0.75
3,4,5,3,0.625
0,0,0,1,0.6875
0,0,0,1,0.75
0,0,0,1,0.8125
0,0,0,1,0.875
0,0,0,1,0.9375
3,30,59,16,0.8125
0,0,0,1,0.875
2,3,3,2,0.8125
0,18,21,7,0.875
