outflow,time,size,area,rho
0,0,0,1,0.875
0,2,2,3,1.0
4,23,35,8,0.625
0,0,0,1,0.75
2,10,10,3,0.625
0,0,0,1,0.75
0,0,0,1,0.875
2,13,15,5,0.75
0,2,2,3,0.875
1,3,3,4,0.875
2,59,74,8,0.75
2,4,4,3,0.625
2,6,9,8,0.5
0,5,6,6,0.625
0,2,2,4,0.75
2,19,19,5,0.625
2,3,4,5,0.5
0,0,0,1,0.625
0,0,0,1,0.75
1,2,2,2,0.75
1,19,30,5,0.75
2,7,7,3,0.625
1,6,6,4,0.625
0,4,4,6,0.75
0,0,0,1,0.875
1,10,11,8,0.875
3,14,20,8,0.625
2,2,2,2,0.5
0,0,0,1,0.625
0,0,0,1,0.75
1,6,6,6,0.75
0,7,8,5,0.875
1,9,11,8,0.875
1,4,4,3,0.875
1,30,44,8,0.875
2,3,4,5,0.75
0,0,0,1,0.875
3,19,22,8,0.625
0,0,0,1,0.75
0,0,0,1,0.875
2,26,31,8,0.75
0,10,10,5,0.875
2,9,9,5,0.75
0,2,2,3,0.875
2,12,16,8,0.75
0,15,24,8,0.875
2,20,28,7,0.75
3,10,12,6,0.5
0,0,0,1,0.625
0,0,0,1,0.75
2,3,3,2,0.625
0,16,18,8,0.75
0,7,8,4,0.875
2,7,7,5,0.75
0,0,0,1,0.875
3,4,5,3,0.625
0,1,1,3,0.75
0,2,2,3,0.875
2,6,6,4,0.75
0,0,0,1,0.875
2,12,19,6,0.75
1,3,4,4,0.75
2,9,11,6,0.625
1,9,11,6,0.625
2,2,2,2,0.5
1,1,1,2,0.5
0,0,0,1,0.625
4,4,5,3,0.25
0,3,3,4,0.375
0,0,0,1,0.5
1,6,6,5,0.5
0,0,0,1,0.625
0,9,9,7,0.75
0,6,6,4,0.875
0,0,0,1,1.0
1,6,6,4,1.0
3,10,20,8,0.75
0,12,12,8,0.875
0,0,0,1,1.0
3,40,50,8,0.75
2,9,11,5,0.625
1,4,4,5,0.625
0,0,0,1,0.75
0,0,0,1,0.875
1,7,9,7,0.875
2,10,10,5,0.75
0,0,0,1,0.875
3,18,31,8,0.625
0,0,0,1,0.75
1,22,24,7,0.75
0,0,0,1,0.875
1,6,6,7,0.875
2,5,5,5,0.75
0,0,0,1,0.875
2,3,3,2,0.75
1,9,12,7,0.75
0,0,0,1,0.875
2,34,50,8,0.75
1,20,24,8,0.75
0,0,0,1,0.875
0,0,0,1,1.0
2,14,20,8,0.875
2,6,8,5,0.75
1,9,12,4,0.75
0,16,16,6,0.875
2,17,17,6,0.75
3,24,31,7,0.5
0,0,0,1,0.625
0,0,0,1,0.75
2,8,8,5,0.625
1,1,1,2,0.625
3,13,17,8,0.375
0,0,0,1,0.5
0,0,0,1,0.625
0,1,1,3,0.75
0,0,0,1,0.875
1,1,1,2,0.875
3,11,18,8,0.625
0,0,0,1,0.75
3,12,12,8,0.5
1,2,2,3,0.5
1,2,2,3,0.5
0,0,0,1,0.625
0,0,0,1,0.75
0,0,0,1,0.875
2,10,13,7,0.75
0,2,2,3,0.875
1,19,23,7,0.875
3,20,27,6,0.625
0,2,2,4,0.75
0,6,6,5,0.875
2,3,3,3,0.75
0,2,2,3,0.875
2,9,14,6,0.75
0,0,0,1,0.875
2,23,26,8,0.75
2,1,1,1,0.625
0,0,0,1,0.75
0,5,5,5,0.875
0,0,0,1,1.0
2,11,19,6,0.875
0,15,20,6,1.0
3,28,36,8,0.75
1,6,6,7,0.75
0,5,5,5,0.875
2,17,22,7,0.75
1,5,6,3,0.75
2,5,9,4,0.625
0,0,0,1,0.75
2,1,1,1,0.625
0,3,3,5,0.75
0,0,0,1,0.875
0,0,0,1,1.0
3,20,24,8,0.75
0,2,2,4,0.875
2,5,8,4,0.75
0,0,0,1,0.875
2,11,12,4,0.75
2,19,19,7,0.625
0,0,0,1,0.75
1,11,15,6,0.75
0,0,0,1,0.875
1,17,24,6,0.875
2,1,1,1,0.75
