outflow,time,size,area,rho
3,172,469,35,0.8828125
2,660,4285,119,0.875
0,2,2,3,0.8828125
0,546,2208,120,0.890625
0,26,26,12,0.8984375
0,59,96,16,0.90625
0,100,148,17,0.9140625
0,0,0,1,0.921875
0,28,40,16,0.9296875
3,1753,8606,119,0.9140625
0,522,1650,62,0.921875
1,55,99,14,0.921875
0,610,1984,66,0.9296875
2,2,2,2,0.921875
0,0,0,1,0.9296875
0,65,150,18,0.9375
2,27,37,12,0.9296875
8,2703,15674,128,0.875
0,19,26,12,0.8828125
2,927,5162,128,0.875
0,0,0,1,0.8828125
0,0,0,1,0.890625
0,107,276,30,0.8984375
0,0,0,1,0.90625
0,100,216,23,0.9140625
3,1383,6998,90,0.8984375
0,8,10,7,0.90625
0,366,853,40,0.9140625
4,811,4797,128,0.890625
0,9,17,11,0.8984375
0,55,88,15,0.90625
0,0,0,1,0.9140625
0,456,1558,90,0.921875
5,976,4157,86,0.890625
0,195,422,29,0.8984375
0,148,263,25,0.90625
0,1154,4116,110,0.9140625
0,57,108,17,0.921875
4,61,168,27,0.8984375
0,4,6,5,0.90625
0,135,386,41,0.9140625
0,0,0,1,0.921875
0,88,226,20,0.9296875
2,11,13,5,0.921875
0,10,14,8,0.9296875
6,1198,6252,128,0.890625
0,199,553,40,0.8984375
0,40,46,13,0.90625
1,57,145,31,0.90625
0,432,1827,55,0.9140625
0,0,0,1,0.921875
0,1275,5988,112,0.9296875
0,27,39,11,0.9375
0,63,142,32,0.9453125
3,723,3909,105,0.9296875
0,0,0,1,0.9375
2,94,286,37,0.9296875
0,139,626,60,0.9375
4,1079,8145,128,0.9140625
2,902,3398,107,0.90625
0,240,799,51,0.9140625
2,1089,4942,105,0.90625
0,0,0,1,0.9140625
0,32,32,15,0.921875
2,28,45,13,0.9140625
1,493,2274,93,0.9140625
0,95,179,25,0.921875
0,0,0,1,0.9296875
0,120,220,28,0.9375
5,918,5151,119,0.90625
0,459,1010,72,0.9140625
0,337,1291,58,0.921875
0,233,617,47,0.9296875
2,402,1296,68,0.921875
0,12,16,10,0.9296875
5,2135,11876,128,0.8984375
0,47,121,23,0.90625
0,0,0,1,0.9140625
0,352,998,43,0.921875
0,375,2219,123,0.9296875
0,131,216,38,0.9375
4,301,1236,64,0.9140625
0,8,8,5,0.921875
0,30,36,9,0.9296875
4,50,101,12,0.90625
0,779,6019,119,0.9140625
0,213,582,31,0.921875
3,711,4244,93,0.90625
2,271,1041,49,0.8984375
0,69,140,25,0.90625
0,0,0,1,0.9140625
1,135,476,35,0.9140625
2,1735,6417,123,0.90625
