outflow,time,size,area,rho
0,0,0,1,0.5
0,0,0,1,0.75
0,5,6,4,1.0
1,4,4,2,1.0
2,5,7,4,0.75
2,3,3,4,0.5
0,0,0,1,0.75
4,5,6,4,0.0
0,0,0,1,0.25
0,0,0,1,0.5
2,4,4,3,0.25
0,0,0,1,0.5
0,0,0,1,0.75
0,0,0,1,1.0
3,8,8,4,0.5
0,0,0,1,0.75
0,0,0,1,1.0
2,6,6,4,0.75
2,3,3,2,0.5
0,1,1,3,0.75
1,1,1,2,0.75
1,10,10,3,0.75
2,1,1,1,0.5
1,2,2,2,0.5
0,0,0,1,0.75
3,5,7,3,0.25
0,0,0,1,0.5
0,2,2,3,0.75
0,0,0,1,1.0
2,4,4,4,0.75
0,0,0,1,1.0
2,5,5,3,0.75
0,0,0,1,1.0
2,5,5,3,0.75
2,2,3,4,0.5
0,0,0,1,0.75
3,4,4,4,0.25
0,0,0,1,0.5
0,0,0,1,0.75
2,3,4,4,0.5
0,2,2,3,0.75
1,5,6,4,0.75
0,0,0,1,1.0
2,12,12,4,0.75
1,8,8,4,0.75
2,1,1,1,0.5
0,2,2,4,0.75
0,0,0,1,1.0
2,11,14,4,0.75
2,5,5,4,0.5
0,0,0,1,0.75
2,3,3,3,0.5
0,4,4,4,0.75
1,2,2,3,0.75
1,1,1,2,0.75
0,0,0,1,1.0
2,6,6,4,0.75
2,7,7,3,0.5
2,4,4,3,0.25
0,0,0,1,0.5
0,0,0,1,0.75
2,3,3,4,0.5
0,0,0,1,0.75
1,2,2,2,0.75
1,6,6,4,0.75
1,2,2,2,0.75
1,6,6,3,0.75
0,0,0,1,1.0
2,2,2,2,0.75
2,3,3,3,0.5
0,0,0,1,0.75
0,0,0,1,1.0
2,3,3,2,0.75
1,3,4,3,0.75
2,9,9,4,0.5
0,2,2,3,0.75
2,4,4,4,0.5
0,2,2,4,0.75
2,1,1,1,0.5
1,2,2,3,0.5
0,0,0,1,0.75
1,3,3,4,0.75
2,5,5,3,0.5
0,0,0,1,0.75
0,0,0,1,1.0
4,8,9,4,0.25
0,0,0,1,0.5
0,0,0,1,0.75
3,13,13,4,0.25
0,0,0,1,0.5
2,4,4,3,0.25
0,0,0,1,0.5
0,0,0,1,0.75
1,1,1,2,0.75
0,3,4,4,1.0
2,1,1,1,0.75
1,4,4,3,0.75
1,11,11,4,0.75
2,3,3,3,0.5
0,0,0,1,0.75
2,6,6,4,0.5
0,2,2,3,0.75
2,1,1,1,0.5
1,2,2,3,0.5
0,0,0,1,0.75
0,2,2,3,1.0
3,6,8,4,0.5
0,0,0,1,0.75
0,0,0,1,1.0
1,2,2,2,1.0
2,1,1,1,0.75
2,3,4,3,0.5
1,2,2,2,0.5
1,1,1,2,0.5
2,2,2,2,0.25
0,0,0,1,0.5
0,2,2,3,0.75
1,2,2,2,0.75
3,5,5,3,0.25
0,1,1,3,0.5
0,0,0,1,0.75
1,1,1,2,0.75
2,3,3,3,0.5
2,3,3,4,0.25
0,0,0,1,0.5
1,3,3,3,0.5
1,2,2,3,0.5
0,0,0,1,0.75
2,3,3,4,0.5
1,2,2,3,0.5
0,0,0,1,0.75
1,3,4,3,0.75
1,2,2,2,0.75
0,3,4,4,1.0
3,4,4,4,0.5
2,2,2,3,0.25
0,0,0,1,0.5
2,5,5,3,0.25
0,0,0,1,0.5
0,0,0,1,0.75
0,0,0,1,1.0
2,5,5,3,0.75
2,1,1,1,0.5
2,3,3,3,0.25
0,0,0,1,0.5
1,1,1,2,0.5
0,0,0,1,0.75
0,0,0,1,1.0
2,3,4,4,0.75
0,0,0,1,1.0
3,7,8,4,0.5
0,0,0,1,0.75
0,2,2,3,1.0
1,7,8,4,1.0
2,4,6,4,0.75
1,5,5,3,0.75
1,5,5,4,0.75
0,0,0,1,1.0
4,4,5,3,0.25
0,0,0,1,0.5
1,1,1,2,0.5
1,1,1,2,0.5
0,0,0,1,0.75
0,0,0,1,1.0
3,7,8,4,0.5
0,0,0,1,0.75
1,2,2,2,0.75
1,3,3,4,0.75
0,0,0,1,1.0
3,4,5,3,0.5
0,3,3,3,0.75
2,5,5,4,0.5
0,2,2,3,0.75
2,8,8,3,0.5
2,1,1,1,0.25
0,0,0,1,0.5
0,1,1,3,0.75
3,9,9,4,0.25
0,0,0,1,0.5
0,0,0,1,0.75
2,3,3,2,0.5
0,0,0,1,0.75
2,1,1,1,0.5
0,2,2,3,0.75
